otu,Genus,counts
Otu00180,Enterobacteriaceae_unclassified,2145
Otu00182,Bacillus,10
Otu00183,Ornithinibacillus,1
Otu00184,Desulfobulbaceae_unclassified,2148
Otu00185,Myxococcaceae_unclassified,144
Otu00186,Sphingomonas,184
Otu00187,Rhizobiaceae_unclassified,1020
Otu00188,Bacteroidales_unclassified,899
Otu00189,Enterobacteriaceae_unclassified,1928
Otu00190,Rhizobiales_unclassified,31
Otu00191,Brachybacterium,587
Otu00192,Bacillus,1887
Otu00193,Saccharospirillum,2049
Otu00194,Rhizobiales_unclassified,18
Otu00195,Flavobacterium,416
Otu00196,Paraliobacillus,2027
Otu00197,Lachnospiraceae_unclassified,1919
Otu00198,Pseudomonas,1427
Otu00199,Herbaspirillum,414
Otu00200,Rhizobiales_unclassified,898
Otu00201,Gemmobacter,1117
Otu00202,Sphingomonadaceae_unclassified,57
Otu00203,Sphingomonas,936
Otu00204,Paludibacterium,1546
Otu00205,Azotobacter,406
Otu00206,Paracoccus,369
Otu00207,Saccharospirillum,1820
Otu00208,Dysgonomonas,1227
Otu00209,Gilvimarinus_unclassified,1807
Otu00210,Arcobacter,1589
Otu00211,Paenisporosarcina,1676
Otu00212,Aeromicrobium,591
Otu00213,Domibacillus,3
Otu00214,Blastococcus,43
Otu00216,Rhizobiales_unclassified,1696
Otu00217,Enterobacteriaceae_unclassified,1667
Otu00219,Arthrobacter,7
Otu00220,Saccharospirillum,1614
Otu00221,Massilia,58
Otu00222,Halomonas,1531
Otu00223,Rheinheimera,1577
Otu00224,Acinetobacter,1144
Otu00225,Pseudoxanthomonas,1156
Otu00226,Veillonellaceae_unclassified,1102
Otu00227,Bacillus,461
Otu00228,Planococcaceae_unclassified,11
Otu00229,Streptomycetaceae_unclassified,34
Otu00230,Aeromonas,1166
Otu00231,Sphingomonas,386
Otu00232,Desulfovibrio,1317
Otu00233,Rhodocyclaceae_unclassified,1087
Otu00234,Staphylococcus,137
Otu00235,Pedobacter,662
Otu00236,Salegentibacter,1454
Otu00237,Xanthobacter,767
Otu00238,Pseudonocardia,917
Otu00239,Bosea,574
Otu00240,Pontibacter,4
Otu00241,Ruminococcaceae_unclassified,1266
Otu00242,Oxalobacteraceae_unclassified,4
Otu00244,Erythrobacteraceae_unclassified,90
Otu00245,Azospirillum,369
Otu00246,Marinilactibacillus,77
Otu00247,Hydrogenophaga,1274
Otu00248,Fulvivirga,1387
Otu00249,Anaerovorax,1333
Otu00250,Micromonosporaceae_unclassified,364
Otu00251,Comamonas,1082
Otu00252,Acetobacteraceae_unclassified,1358
Otu00253,Actinomycetales_unclassified,92
Otu00254,Micrococcaceae_unclassified,4
Otu00255,Arthrobacter,4
Otu00256,Bacillaceae_1_unclassified,2
Otu00257,Curvibacter,823
Otu00258,Phenylobacterium,472
Otu00259,Propionispira,1209
Otu00260,Rhodocyclaceae_unclassified,1051
Otu00261,Sphingobacterium,774
Otu00262,Paenibacillus,964
Otu00263,Flavobacterium,175
Otu00264,Bacillus,3
Otu00265,Bacillus,1256
Otu00266,Brucellaceae_unclassified,956
Otu00267,Blastococcus,44
Otu00268,Gammaproteobacteria_unclassified,388
Otu00269,Treponema,847
Otu00270,Sphingobium,759
Otu00271,Fluviicola,286
Otu00272,Domibacillus,5
Otu00273,Marmoricola,1189
Otu00275,Geodermatophilus,1
Otu00277,Marinilabilia,1200
Otu00278,Rhodobacter,616
Otu00279,Dyadobacter,471
Otu00280,Actinomycetales_unclassified,9
Otu00281,Luteolibacter,796
Otu00282,Halomonas,1160
Otu00283,Rhodobacteraceae_unclassified,20
Otu00284,Caulobacter,805
Otu00285,Kaistia,350
Otu00286,Flavobacterium,133
Otu00287,Idiomarina,1144
Otu00288,Comamonadaceae_unclassified,873
Otu00289,Bacillaceae_1_unclassified,9
Otu00290,Flavobacterium,1030
Otu00291,Vibrio,1133
Otu00292,Adhaeribacter,4
Otu00293,Enterobacteriaceae_unclassified,1051
Otu00295,Pelosinus,1086
Otu00296,Xanthobacteraceae_unclassified,427
Otu00297,Pelomonas,289
Otu00298,Aeromicrobium,11
Otu00299,Cytophagales_unclassified,1078
Otu00300,Anaerospora,978
Otu00301,Gammaproteobacteria_unclassified,367
Otu00302,Cellvibrio,273
Otu00303,Variovorax,79
Otu00304,Marinobacter,1065
Otu00305,Tolumonas,803
Otu00306,Idiomarina,1051
Otu00307,Pontibacter,8
Otu00308,Xanthomonadaceae_unclassified,854
Otu00309,Bradyrhizobium,411
Otu00312,Pedobacter,765
Otu00314,Prevotella,591
Otu00315,Bacillus,2
Otu00316,Bacillus,429
Otu00317,Dyadobacter,214
Otu00318,Bacillus,200
Otu00319,Bacillus,8
Otu00320,Rhizobiales_unclassified,80
Otu00321,Rhizobiales_unclassified,253
Otu00322,Kineococcus,844
Otu00323,Marivirga,964
Otu00324,Actinomycetales_unclassified,880
Otu00325,Saccharibacillus,109
Otu00326,Nocardioides,2
Otu00327,Bacillus,2
Otu00328,Niveispirillum,325
Otu00329,Actinobacteria Rank3,14
Otu00330,Anaerobacter,123
Otu00331,Magnetospirillum,521
Otu00332,Arthrobacter,751
Otu00333,Rubrobacter,1
Otu00334,Haloferula,878
Otu00335,Sinobacteraceae_unclassified,130
Otu00336,Mycobacterium,352
Otu00338,Marinilabiliaceae_unclassified,746
Otu00339,Rheinheimera,120
Otu00340,Desulfobulbus,764
Otu00341,Mariniflexile,853
Otu00342,Lysobacter,3
Otu00343,Brevundimonas,464
Otu00344,Bacillus,76
Otu00345,Rhizobiales_unclassified,174
Otu00346,Burkholderia,3
Otu00348,Luteimonas,4
Otu00349,Sphingobium,150
Otu00350,Microbacteriaceae_unclassified,276
Otu00351,Reyranella_unclassified,397
Otu00352,Bacillus,674
Otu00353,Desulfobulbaceae_unclassified,797
Otu00354,Zoogloea,496
Otu00355,Rhizobiales_unclassified,413
Otu00356,Methylophaga,786
Otu00357,Flavobacterium,783
Otu00358,Gammaproteobacteria_unclassified,4
Otu00359,Rhodocyclaceae_unclassified,400
Otu00361,Microvirga,10
Otu00362,Brevundimonas,310
Otu00363,Fusobacteriaceae_unclassified,642
Otu00364,Microvirga,6
Otu00365,Gp16_unclassified,494
Otu00366,Pseudomonas,508
Otu00367,Planococcus,3
Otu00368,Chitinophagaceae_unclassified,48
Otu00369,Rubrivivax,511
Otu00370,Marinilabilia,754
Otu00371,Clostridiales_unclassified,753
Otu00372,Enterobacteriaceae_unclassified,652
Otu00373,Pelagicoccus,750
Otu00374,Halanaerobium,750
Otu00375,Enterobacteriaceae_unclassified,700
Otu00376,Ilumatobacter,515
Otu00377,Sphingomonadaceae_unclassified,639
Otu00378,Planomicrobium,3
Otu00379,Bacillaceae_2_unclassified,3
Otu00380,Erythrobacteraceae_unclassified,337
Otu00381,Planomicrobium,2
Otu00382,Bacteria_unclassified,644
Otu00383,Shewanella,683
Otu00384,Idiomarina,719
Otu00385,Gp16_unclassified,94
Otu00386,Flavobacterium,535
Otu00387,Bacteroides,565
Otu00388,Acidovorax,698
Otu00389,Skermanella,162
Otu00390,Sporomusa,424
Otu00391,Alteromonadales_incertae_sedis_unclassified,705
Otu00392,Rhizobiales_unclassified,96
Otu00393,Legionella,433
Otu00394,Brumimicrobium,699
Otu00395,Spirochaeta,700
Otu00396,Lachnospiraceae_unclassified,630
Otu00397,Macellibacteroides,560
Otu00398,Novispirillum,599
Otu00399,Sporomusa,611
Otu00400,Methylophilaceae_unclassified,209
Otu00401,Paenibacillus,243
Otu00402,Flavobacterium,286
Otu00403,Enterobacteriaceae_unclassified,662
Otu00404,Geodermatophilus,1
Otu00405,Rhodococcus,1
Otu00406,Psychroflexus,655
Otu00407,Methylophilaceae_unclassified,623
Otu00408,Actinobacteria Rank2,22
Otu00409,Flavobacterium,219
Otu00410,Exiguobacterium,34
Otu00411,Bacillales_unclassified,1
Otu00412,Euzebya,3
Otu00413,Nocardioides,56
Otu00414,Micrococcaceae_unclassified,3
Otu00416,Desulfosporosinus,592
Otu00417,Bacillales_unclassified,1
Otu00418,Rubellimicrobium,26
Otu00419,Azospirillum,78
Otu00420,Alphaproteobacteria_unclassified,496
Otu00421,Kineococcus,443
Otu00422,Microvirga,4
Otu00423,Pontibacter,5
Otu00424,Ancylobacter,295
Otu00425,Rhodobacteraceae_unclassified,19
Otu00426,Propionibacterium,60
Otu00427,Modestobacter,62
Otu00428,Acidimicrobiales_unclassified,32
Otu00429,Gammaproteobacteria_unclassified,231
Otu00430,Rufibacter,1
Otu00431,Lachnospiraceae_unclassified,567
Otu00432,Rhizobium,228
Otu00433,Flavobacteriaceae_unclassified,603
Otu00434,Brevundimonas,235
Otu00435,Stenotrophomonas,564
Otu00436,Paenibacillus,493
Otu00437,Pelosinus,298
Otu00438,Sphingobacteriaceae_unclassified,119
Otu00439,Prauserella,5
Otu00440,Pontibacter,5
Otu00441,Sphingomonas,176
Otu00442,Propionivibrio,257
Otu00443,Paludibacter,410
Otu00444,Insolitispirillum,333
Otu00445,Planococcaceae_unclassified,1
Otu00446,Gammaproteobacteria_unclassified,353
Otu00447,Bacillaceae_2_unclassified,14
Otu00448,Hydrogenophaga,447
Otu00449,Ramlibacter,13
Otu00450,Euzebya,23
Otu00452,Micromonosporaceae_unclassified,374
Otu00453,Gaiella,477
Otu00454,Fluviicola,68
Otu00455,Marinobacter,529
Otu00456,Rhodospirillaceae_unclassified,7
Otu00457,Actinomycetales_unclassified,2
Otu00458,Marinobacter,541
Otu00459,Rhizobiales_unclassified,165
Otu00460,Marinicella_unclassified,539
Otu00461,Flavobacterium,118
Otu00462,Alphaproteobacteria_unclassified,3
Otu00463,Methylophaga,531
Otu00465,Citrobacter,470
Otu00466,Erythrobacteraceae_unclassified,15
Otu00467,Patulibacter,513
Otu00468,Lysinibacillus,1
Otu00469,Flavobacteriaceae_unclassified,514
Otu00470,Bacillaceae_2_unclassified,1
Otu00471,Bacteria_unclassified,1
Otu00472,Bacillus,1
Otu00473,Enterobacteriaceae_unclassified,507
Otu00474,Opitutus,287
Otu00475,Paenibacillus,501
Otu00476,Nakamurella,493
Otu00478,Gp16_unclassified,472
Otu00479,Oxalobacteraceae_unclassified,2
Otu00480,Nitriliruptor,1
Otu00482,Ornithinimicrobium,3
Otu00483,Pontibacter,2
Otu00484,Pseudomonas,417
Otu00485,Nocardioidaceae_unclassified,417
Otu00486,Pontibacter,2
Otu00487,Actinobacteria Rank2,2
Otu00488,Shinella,359
Otu00489,Sphaerobacteraceae_unclassified,3
Otu00490,Desulfovibrio,418
Otu00491,Roseomonas,392
Otu00492,Arenibacter,466
Otu00493,Actinomycetales_unclassified,5
Otu00494,Actinobacteria Rank3,22
Otu00495,Gammaproteobacteria_unclassified,160
