otu,Genus,counts
Otu13318,Verrucomicrobiaceae_unclassified,3
Otu13319,Myxococcales_unclassified,3
Otu13323,Myxococcales_unclassified,2
Otu13326,Nannocystaceae_unclassified,3
Otu13327,Nannocystis,2
Otu13328,Myxococcales_unclassified,3
Otu13330,Myxococcales_unclassified,3
Otu13332,Verrucomicrobiaceae_unclassified,2
Otu13338,Prosthecobacter,3
Otu13340,Gp3_unclassified,3
Otu13341,Myxococcales_unclassified,3
Otu13344,Myxococcales_unclassified,3
Otu13345,Myxococcales_unclassified,3
Otu13351,Myxococcales_unclassified,3
Otu13352,Myxococcales_unclassified,1
Otu13353,Steroidobacter,3
Otu13356,Acetobacteraceae_unclassified,3
Otu13360,Luteolibacter,1
Otu13364,Polyangiaceae_unclassified,3
Otu13365,Polyangiaceae_unclassified,3
Otu13366,Sandaracinus,3
Otu13367,Myxococcales_unclassified,3
Otu13371,Phenylobacterium,1
Otu13372,Steroidobacter,3
Otu13376,Sinobacteraceae_unclassified,3
Otu13377,Candidatus_Saccharibacteria_unclassified,3
Otu13378,Bdellovibrio,2
Otu13379,Bacteriovorax,3
Otu13380,Bdellovibrio,1
Otu13384,Candidatus_Saccharibacteria_unclassified,2
Otu13386,Candidatus_Saccharibacteria_unclassified,3
Otu13387,Bacteriovorax,2
Otu13393,Litorilinea,3
Otu13397,Sphingobium,2
Otu13398,Candidatus_Saccharibacteria_unclassified,3
Otu13400,Sphingomonadaceae_unclassified,3
Otu13401,Sphingomonadaceae_unclassified,1
Otu13404,Bdellovibrio,1
Otu13405,Candidatus_Saccharibacteria_unclassified,3
Otu13406,Vampirovibrio,3
Otu13407,Bdellovibrio,3
Otu13408,Candidatus_Saccharibacteria_unclassified,3
Otu13409,Bdellovibrio,2
Otu13410,Bdellovibrio,3
Otu13411,Candidatus_Saccharibacteria_unclassified,3
Otu13412,Candidatus_Saccharibacteria_unclassified,3
Otu13414,Myxococcales_unclassified,3
Otu13418,Candidatus_Saccharibacteria_unclassified,2
Otu13420,Nannocystaceae_unclassified,3
Otu13422,Gp3_unclassified,1
Otu13425,Myxococcales_unclassified,3
Otu13427,Myxococcales_unclassified,3
Otu13429,Myxococcales_unclassified,3
Otu13432,Candidatus_Saccharibacteria_unclassified,1
Otu13434,Candidatus_Saccharibacteria_unclassified,3
Otu13435,Litorilinea,3
Otu13436,Candidatus_Saccharibacteria_unclassified,3
Otu13437,Candidatus_Saccharibacteria_unclassified,2
Otu13452,Hymenobacter,1
Otu13453,Cyclobacterium,3
Otu13454,Cytophagales_unclassified,3
Otu13456,Fulvivirga,3
Otu13483,Ohtaekwangia_unclassified,3
Otu13494,Dyadobacter,3
Otu13500,Cesiribacter,3
Otu13503,Cytophagales_unclassified,1
Otu13510,Hymenobacter,3
Otu13518,Hymenobacter,3
Otu13520,Cytophagales_unclassified,3
Otu13522,Hymenobacter,3
Otu13526,Cytophagales_unclassified,3
Otu13527,Hymenobacter,3
Otu13530,Algoriphagus,3
Otu13532,Flammeovirgaceae_unclassified,1
Otu13533,Cytophagaceae_unclassified,2
Otu13535,Cytophagales_unclassified,1
Otu13545,Dyadobacter,3
Otu13546,Ohtaekwangia_unclassified,1
Otu13551,Chromatiales_unclassified,1
Otu13552,Rheinheimera,3
Otu13553,Rheinheimera,2
Otu13555,Ectothiorhodospiraceae_unclassified,3
Otu13565,Rubrobacter,3
Otu13567,Actinobacteria Rank3,3
Otu13568,Actinobacteria Rank3,2
Otu13569,Actinobacteria Rank3,3
Otu13575,Gammaproteobacteria_incertae_sedis_unclassified,3
Otu13576,Bacteroidetes_unclassified,3
Otu13578,Bacteroidetes_unclassified,3
Otu13579,Bacteroidetes_unclassified,1
Otu13580,Bacteroidetes_unclassified,3
Otu13581,Bacteroidetes_unclassified,3
Otu13583,Bacteroidetes_unclassified,3
Otu13586,Gilvimarinus_unclassified,3
Otu13587,Spongiibacter_unclassified,3
Otu13597,Rheinheimera,3
Otu13599,Thiohalobacter,3
Otu13600,Propionivibrio,2
Otu13602,Actinobacteria Rank3,3
Otu13603,Actinobacteria Rank3,3
Otu13605,Actinobacteria Rank3,3
Otu13607,Actinobacteria Rank3,3
Otu13611,Rhodocyclaceae_unclassified,1
Otu13612,Uliginosibacterium,3
Otu13613,Actinobacteria Rank3,2
Otu13616,Reichenbachiella,3
Otu13619,Dyadobacter,1
Otu13620,Adhaeribacter,3
Otu13625,Actinobacteria Rank3,1
Otu13627,Actinobacteria Rank3,3
Otu13628,Actinobacteria Rank3,3
Otu13633,Actinobacteria Rank3,3
Otu13634,Actinobacteria Rank3,3
Otu13638,Adhaeribacter,3
Otu13640,Actinobacteria Rank3,3
Otu13646,Actinobacteria Rank3,3
Otu13650,Halomonas,3
Otu13651,Burkholderiales_unclassified,3
Otu13653,Comamonadaceae_unclassified,2
Otu13655,Halomonas,3
Otu13657,Halomonadaceae_unclassified,3
Otu13659,Rhodoferax,2
Otu13662,Halomonas,3
Otu13663,Oxalobacteraceae_unclassified,2
Otu13664,Delftia,2
Otu13666,Comamonadaceae_unclassified,3
Otu13667,Comamonadaceae_unclassified,1
Otu13668,Burkholderiales_unclassified,3
Otu13669,Halomonas,1
Otu13670,Halomonas,3
Otu13671,Halomonas,3
Otu13672,Halomonas,3
Otu13673,Halomonas,3
Otu13677,Rhodoferax,1
Otu13679,Comamonadaceae_unclassified,2
Otu13681,Halomonas,3
Otu13685,Oxalobacteraceae_unclassified,3
Otu13686,Halomonadaceae_unclassified,3
Otu13690,Massilia,2
Otu13691,Comamonadaceae_unclassified,2
Otu13693,Halomonas,2
Otu13694,Oxalobacteraceae_unclassified,3
Otu13700,Legionella,3
Otu13701,Acidobacteria_Gp4_unclassified,3
Otu13702,Acidobacteria_Gp4_unclassified,3
Otu13703,Acidobacteria_Gp4_unclassified,3
Otu13704,Leptotrichia,3
Otu13705,Legionella,3
Otu13706,Legionella,3
Otu13707,Aquicella,3
Otu13708,Legionella,3
Otu13709,Legionella,3
Otu13710,Legionella,3
Otu13711,Legionella,3
Otu13712,Legionella,3
Otu13713,Acidobacteria_Gp4_unclassified,1
Otu13714,Legionella,3
Otu13715,Legionella,2
Otu13716,Legionella,3
Otu13717,Aquicella,3
Otu13718,Aquicella,3
Otu13719,Aquicella,3
Otu13720,Coxiella,3
Otu13721,Legionella,3
Otu13722,Aquicella,3
Otu13723,Legionella,3
Otu13724,Legionella,3
Otu13725,Parachlamydiaceae_unclassified,3
Otu13726,Halomonadaceae_unclassified,3
Otu13729,Halomonas,3
Otu13731,Halomonadaceae_unclassified,3
Otu13736,Halomonas,3
Otu13739,Neochlamydia,3
Otu13740,Chlamydiales_unclassified,3
Otu13741,Parachlamydiaceae_unclassified,3
Otu13743,Parachlamydiaceae_unclassified,3
Otu13744,Parachlamydiaceae_unclassified,3
Otu13745,Tepidisphaera,3
Otu13749,Acidobacteria_Gp4_unclassified,3
Otu13750,Halomonadaceae_unclassified,3
Otu13751,Halomonas,3
Otu13752,Halomonas,3
Otu13753,Halomonadaceae_unclassified,3
Otu13755,Oceanospirillales_unclassified,1
Otu13757,Halomonadaceae_unclassified,3
Otu13761,Oceanospirillales_unclassified,3
Otu13762,Halomonas,3
Otu13763,Halomonas,3
Otu13766,Halomonadaceae_unclassified,3
Otu13768,Halomonas,3
Otu13769,Halomonas,3
Otu13770,Halomonadaceae_unclassified,3
Otu13771,Halomonas,3
Otu13773,Saccharospirillum,3
Otu13775,Halomonadaceae_unclassified,3
Otu13776,Hymenobacter,3
Otu13777,Cytophagales_unclassified,3
Otu13782,Halomonas,3
Otu13784,Halomonas,3
Otu13786,Halomonas,3
Otu13789,Halomonadaceae_unclassified,3
Otu13790,Halomonadaceae_unclassified,3
Otu13791,Halomonadaceae_unclassified,3
Otu13793,Halomonadaceae_unclassified,3
Otu13794,Oceanospirillales_unclassified,3
Otu13796,Halomonas,3
Otu13798,Halomonas,3
Otu13799,Halomonas,3
Otu13801,Oceanospirillales_unclassified,3
Otu13802,Duganella,3
Otu13805,Hydrogenophaga,3
Otu13806,Alcaligenaceae_unclassified,1
Otu13813,Burkholderiales_unclassified,3
Otu13819,Oxalobacteraceae_unclassified,2
Otu13820,Acidovorax,2
Otu13822,Comamonadaceae_unclassified,3
Otu13823,Halomonadaceae_unclassified,1
Otu13825,Halomonas,3
Otu13827,Halomonadaceae_unclassified,3
Otu13830,Oxalobacteraceae_unclassified,3
Otu13831,Undibacterium,3
Otu13836,Halomonadaceae_unclassified,3
Otu13839,Halomonadaceae_unclassified,3
Otu13840,Halomonadaceae_unclassified,3
Otu13841,Halomonadaceae_unclassified,2
Otu13844,Burkholderiales_unclassified,3
Otu13848,Comamonadaceae_unclassified,3
Otu13849,Herminiimonas,3
Otu13850,Bacteria_unclassified,2
Otu13851,Bacteria_unclassified,3
Otu13854,Bacteria_unclassified,2
Otu13855,Bacteria_unclassified,3
Otu13862,Bacteria_unclassified,2
Otu13866,Bacteria_unclassified,3
Otu13868,Bacteria_unclassified,3
Otu13869,Bacteria_unclassified,3
Otu13870,Bacteria_unclassified,2
Otu13873,Bacteria_unclassified,3
Otu13877,Bacteria_unclassified,3
Otu13879,Bacteria_unclassified,2
Otu13881,Bacteria_unclassified,2
Otu13882,Bacteria_unclassified,2
Otu13890,Bacteria_unclassified,3
Otu13891,Bacteria_unclassified,3
Otu13897,Bacteria_unclassified,3
Otu13898,Bacteria_unclassified,2
Otu13899,Bacteria_unclassified,3
Otu13900,Bacteria_unclassified,1
Otu13902,Bacteria_unclassified,1
Otu13903,Bacteria_unclassified,2
Otu13909,Bacteria_unclassified,1
Otu13910,Bacteria_unclassified,3
Otu13912,Bacteria_unclassified,3
Otu13913,Bacteria_unclassified,2
Otu13915,Bacteria_unclassified,3
Otu13917,Bacteria_unclassified,3
Otu13922,Bacteria_unclassified,3
Otu13926,Bacteria_unclassified,1
Otu13928,Bacteria_unclassified,3
Otu13929,Bacteria_unclassified,3
Otu13930,Bacteria_unclassified,2
Otu13932,Bacteria_unclassified,1
Otu13935,Bacteria_unclassified,2
Otu13937,Bacteria_unclassified,3
Otu13940,Bacteria_unclassified,3
Otu13946,Bacteria_unclassified,3
Otu13955,Bacteria_unclassified,3
Otu13956,Bacteria_unclassified,3
Otu13961,Bacteria_unclassified,3
Otu13965,Bacteria_unclassified,3
Otu13966,Bacteria_unclassified,1
Otu13967,Bacteria_unclassified,3
Otu13971,Bacteria_unclassified,3
Otu13976,Bacteria_unclassified,2
Otu13978,Bacteria_unclassified,3
Otu13988,Bacteria_unclassified,3
Otu13991,Bacteria_unclassified,3
Otu13992,Bacteria_unclassified,1
Otu13993,Bacteria_unclassified,3
Otu13994,Bacteria_unclassified,3
Otu13995,Bacteria_unclassified,2
Otu13996,Bacteria_unclassified,1
Otu14001,Bacteria_unclassified,1
Otu14006,Bacteria_unclassified,3
Otu14009,Bacteria_unclassified,2
Otu14010,Bacteria_unclassified,3
Otu14014,Bacteria_unclassified,3
Otu14023,Bacteria_unclassified,3
Otu14025,Bacteria_unclassified,1
Otu14032,Bacteria_unclassified,3
Otu14035,Bacteria_unclassified,2
Otu14040,Bacteria_unclassified,3
Otu14043,Bacteria_unclassified,1
Otu14045,Bacteria_unclassified,3
Otu14048,Bacteria_unclassified,3
Otu14050,Bacteria_unclassified,3
Otu14053,Bacteria_unclassified,3
Otu14055,Bacteria_unclassified,3
Otu14056,Bacteria_unclassified,3
Otu14059,Bacteria_unclassified,3
Otu14062,Bacteria_unclassified,3
Otu14063,Bacteria_unclassified,3
Otu14065,Bacteria_unclassified,3
Otu14067,Bacteria_unclassified,3
Otu14068,Bacteria_unclassified,3
Otu14069,Bacteria_unclassified,3
Otu14070,Bacteria_unclassified,3
Otu14071,Bacteria_unclassified,3
Otu14073,Bacteria_unclassified,3
Otu14075,Bacteria_unclassified,3
Otu14076,Bacteria_unclassified,3
Otu14077,Bacteria_unclassified,3
Otu14080,Bacteria_unclassified,3
Otu14084,Bacteria_unclassified,3
Otu14087,Bacteria_unclassified,3
Otu14088,Bacteria_unclassified,3
Otu14090,Bacteria_unclassified,3
Otu14091,Bacteria_unclassified,3
Otu14093,Bacteria_unclassified,3
Otu14095,Bacteria_unclassified,3
Otu14097,Bacteria_unclassified,3
Otu14098,Bacteria_unclassified,3
Otu14100,Bacteroidetes_unclassified,3
Otu14102,Deltaproteobacteria_unclassified,3
Otu14103,Deltaproteobacteria_unclassified,3
Otu14104,Deltaproteobacteria_unclassified,3
Otu14106,Deltaproteobacteria_unclassified,3
Otu14107,Deltaproteobacteria_unclassified,3
Otu14108,Deltaproteobacteria_unclassified,3
Otu14110,Bacteroidetes_unclassified,3
Otu14111,Bacteroidetes_unclassified,3
Otu14112,Bacteroidetes_unclassified,2
Otu14113,Deltaproteobacteria_unclassified,3
Otu14115,Bacteroidetes_unclassified,3
Otu14116,Bacteroidetes_unclassified,3
Otu14117,Bacteroidetes_unclassified,1
Otu14118,Bacteroidetes_unclassified,2
Otu14119,Bacteroidetes_unclassified,3
Otu14120,Bacteroidetes_unclassified,3
Otu14121,Bacteroidetes_unclassified,3
Otu14123,Bacteroidetes_unclassified,3
Otu14124,Bacteroidetes_unclassified,3
Otu14128,Bacteria_unclassified,3
Otu14130,Bacteria_unclassified,3
Otu14131,Gp15_unclassified,3
Otu14132,Gp18_unclassified,3
Otu14133,Gp5_unclassified,2
Otu14134,Gp5_unclassified,3
Otu14140,Deltaproteobacteria_unclassified,2
Otu14141,Deltaproteobacteria_unclassified,3
Otu14142,Deltaproteobacteria_unclassified,2
Otu14145,Deltaproteobacteria_unclassified,1
Otu14147,Deltaproteobacteria_unclassified,2
Otu14148,Deltaproteobacteria_unclassified,3
Otu14149,Deltaproteobacteria_unclassified,2
Otu14150,Bacteria_unclassified,3
Otu14155,Bacteria_unclassified,3
Otu14156,Bacteria_unclassified,3
Otu14157,Bacteria_unclassified,3
Otu14158,Bacteria_unclassified,3
Otu14159,Bacteria_unclassified,3
Otu14160,Bacteria_unclassified,3
Otu14164,Bacteria_unclassified,3
Otu14166,Bacteria_unclassified,2
Otu14167,Bacteria_unclassified,2
Otu14168,Bacteria_unclassified,3
Otu14169,Bacteria_unclassified,3
Otu14170,Bacteria_unclassified,3
Otu14173,Bacteria_unclassified,3
Otu14174,Bacteria_unclassified,3
Otu14175,Bacteria_unclassified,3
Otu14176,Bacteria_unclassified,3
Otu14178,Bacteria_unclassified,3
Otu14181,Bacteria_unclassified,3
Otu14182,Bacteria_unclassified,3
Otu14183,Bacteria_unclassified,3
Otu14184,Bacteria_unclassified,2
Otu14185,Bacteria_unclassified,1
Otu14186,Bacteria_unclassified,1
Otu14196,Bacteria_unclassified,3
Otu14198,Bacteria_unclassified,3
Otu14205,Bacteria_unclassified,3
Otu14207,Bacteria_unclassified,3
Otu14212,Bacteria_unclassified,3
Otu14214,Bacteria_unclassified,3
Otu14215,Bacteria_unclassified,3
Otu14216,Bacteria_unclassified,3
Otu14219,Bacteria_unclassified,3
Otu14223,Bacteria_unclassified,3
Otu14224,Bacteria_unclassified,3
Otu14225,Bacteria_unclassified,3
Otu14226,Bacteria_unclassified,2
Otu14233,Bacteria_unclassified,3
Otu14235,Bacteria_unclassified,3
Otu14237,Legionella,3
Otu14240,Bacteria_unclassified,3
Otu14243,Bacteria_unclassified,1
Otu14244,Bacteria_unclassified,3
Otu14245,Bacteria_unclassified,3
Otu14246,Bacteria_unclassified,3
Otu14248,Bacteria_unclassified,3
Otu14256,Gp6_unclassified,3
Otu14259,Gp6_unclassified,1
Otu14261,Gp6_unclassified,1
Otu14262,Gp6_unclassified,3
Otu14265,Gp6_unclassified,3
Otu14267,Gp6_unclassified,3
Otu14275,Betaproteobacteria_unclassified,3
Otu14276,Betaproteobacteria_unclassified,3
Otu14279,Proteobacteria_unclassified,3
Otu14280,Proteobacteria_unclassified,3
Otu14281,Gp6_unclassified,3
Otu14282,Proteobacteria_unclassified,3
Otu14283,Proteobacteria_unclassified,2
Otu14285,Gp6_unclassified,2
Otu14286,Proteobacteria_unclassified,2
Otu14289,Gp6_unclassified,1
Otu14291,Proteobacteria_unclassified,2
Otu14292,Proteobacteria_unclassified,3
Otu14293,Gp6_unclassified,2
Otu14295,Gp6_unclassified,3
Otu14296,Proteobacteria_unclassified,3
Otu14298,Proteobacteria_unclassified,3
Otu14299,Clostridium_XlVa,3
Otu14301,Lachnospiraceae_unclassified,3
Otu14302,Clostridium_sensu_stricto,2
Otu14303,Anaerovorax,3
Otu14304,Lachnospiraceae_unclassified,3
Otu14305,Clostridiaceae_1_unclassified,2
Otu14306,Clostridiales_unclassified,3
Otu14307,Candidatus_Hydrogenedens_unclassified,3
Otu14308,Candidatus_Hydrogenedens_unclassified,3
Otu14309,Candidatus_Hydrogenedens_unclassified,3
Otu14310,Lachnospiraceae_unclassified,3
Otu14311,Lachnospiraceae_unclassified,3
Otu14312,Lachnospiraceae_unclassified,2
Otu14313,Ruminococcus,1
Otu14314,Clostridium_XlVa,3
Otu14315,Candidatus_Hydrogenedens_unclassified,3
Otu14316,Candidatus_Hydrogenedens_unclassified,3
Otu14317,Lachnospiraceae_unclassified,2
Otu14318,Alkaliphilus,3
Otu14319,Anaerovorax,3
Otu14320,Lachnospiraceae_unclassified,3
Otu14321,Clostridium_XlVa,3
Otu14323,Lachnospiraceae_unclassified,2
Otu14327,Solirubrobacterales_unclassified,3
Otu14329,Solirubrobacterales_unclassified,3
Otu14333,Gp17_unclassified,2
Otu14335,Gp17_unclassified,3
Otu14339,Methylovorus,3
Otu14340,Methylophilaceae_unclassified,1
Otu14341,Methylobacillus,2
Otu14343,Sporosalibacterium,3
Otu14344,Lachnospiraceae_unclassified,2
Otu14345,Lachnospiraceae_unclassified,3
Otu14347,Lachnospiraceae_unclassified,3
Otu14348,Ruminococcaceae_unclassified,3
Otu14350,Chloroflexi_unclassified,3
Otu14352,Chloroflexi_unclassified,3
Otu14355,Chloroflexi_unclassified,3
Otu14356,Chloroflexi_unclassified,3
Otu14357,Chloroflexi_unclassified,3
Otu14360,Proteobacteria_unclassified,3
Otu14361,Proteobacteria_unclassified,3
Otu14362,Chloroflexi_unclassified,3
Otu14363,Proteobacteria_unclassified,3
Otu14368,Proteobacteria_unclassified,3
Otu14370,Proteobacteria_unclassified,3
Otu14371,Proteobacteria_unclassified,3
Otu14376,Chloroflexi_unclassified,1
Otu14378,Chloroflexi_unclassified,3
Otu14379,Spirochaetaceae_unclassified,3
Otu14384,Chloroflexi_unclassified,3
Otu14385,Chloroflexi_unclassified,3
Otu14386,Chloroflexi_unclassified,3
Otu14387,Proteobacteria_unclassified,3
Otu14389,Chloroflexi_unclassified,3
Otu14390,Halocella,3
Otu14395,Thermoleophilum,3
Otu14396,Thermoleophilum,1
Otu14397,Thermoleophilum,1
Otu14399,Proteobacteria_unclassified,3
Otu14400,Proteobacteria_unclassified,3
Otu14401,Proteobacteria_unclassified,3
Otu14402,Betaproteobacteria_unclassified,3
Otu14404,Betaproteobacteria_unclassified,3
Otu14405,Proteobacteria_unclassified,3
Otu14408,Betaproteobacteria_unclassified,2
Otu14410,Proteobacteria_unclassified,3
Otu14414,Proteobacteria_unclassified,1
Otu14416,Proteobacteria_unclassified,2
Otu14417,Betaproteobacteria_unclassified,3
Otu14418,Proteobacteria_unclassified,3
Otu14423,Proteobacteria_unclassified,3
Otu14427,Betaproteobacteria_unclassified,2
Otu14428,Betaproteobacteria_unclassified,2
Otu14429,Proteobacteria_unclassified,3
Otu14431,Proteobacteria_unclassified,3
Otu14433,Proteobacteria_unclassified,3
Otu14435,Proteobacteria_unclassified,3
Otu14437,Clostridiales_unclassified,3
Otu14438,Proteobacteria_unclassified,3
Otu14439,Proteobacteria_unclassified,3
Otu14443,Proteobacteria_unclassified,3
Otu14445,Proteobacteria_unclassified,3
Otu14446,Proteobacteria_unclassified,3
Otu14447,Proteobacteria_unclassified,3
Otu14448,Proteobacteria_unclassified,2
Otu14449,Enterobacteriaceae_unclassified,3
Otu14450,Enterobacteriaceae_unclassified,2
Otu14451,Enterobacteriaceae_unclassified,3
Otu14453,Enterobacteriaceae_unclassified,3
Otu14454,Kosakonia,3
Otu14455,Enterobacteriaceae_unclassified,3
Otu14456,Enterobacteriaceae_unclassified,3
Otu14457,Enterobacteriaceae_unclassified,2
Otu14458,Enterobacteriaceae_unclassified,3
Otu14459,Enterobacteriaceae_unclassified,3
Otu14460,Enterobacteriaceae_unclassified,2
Otu14461,Enterobacteriaceae_unclassified,3
Otu14462,Enterobacteriaceae_unclassified,3
Otu14463,Enterobacteriaceae_unclassified,3
Otu14464,Ruminococcaceae_unclassified,3
Otu14465,Enterobacteriaceae_unclassified,3
Otu14466,Enterobacteriaceae_unclassified,3
Otu14467,Enterobacteriaceae_unclassified,1
Otu14468,Enterobacteriaceae_unclassified,3
Otu14469,Enterobacteriaceae_unclassified,3
Otu14470,Enterobacteriaceae_unclassified,3
Otu14471,Enterobacteriaceae_unclassified,3
Otu14472,Enterobacteriaceae_unclassified,2
Otu14473,Enterobacteriaceae_unclassified,3
Otu14474,Enterobacteriaceae_unclassified,3
Otu14475,Enterobacteriaceae_unclassified,3
Otu14476,Enterobacteriaceae_unclassified,3
Otu14477,Enterobacteriaceae_unclassified,3
Otu14478,Enterobacteriaceae_unclassified,3
Otu14479,Enterobacteriaceae_unclassified,3
Otu14480,Kosakonia,2
Otu14481,Enterobacteriaceae_unclassified,3
Otu14482,Enterobacteriaceae_unclassified,2
Otu14483,Enterobacteriaceae_unclassified,3
Otu14484,Clostridiales_unclassified,3
Otu14485,Enterobacteriaceae_unclassified,1
Otu14486,Enterobacteriaceae_unclassified,3
Otu14487,Enterobacteriaceae_unclassified,3
Otu14488,Enterobacteriaceae_unclassified,1
Otu14489,Enterobacteriaceae_unclassified,3
Otu14490,Enterobacteriaceae_unclassified,3
Otu14491,Enterobacteriaceae_unclassified,3
Otu14492,Enterobacteriaceae_unclassified,3
Otu14493,Enterobacteriaceae_unclassified,1
Otu14494,Enterobacteriaceae_unclassified,3
Otu14495,Enterobacteriaceae_unclassified,3
Otu14496,Kosakonia,2
Otu14497,Enterobacteriaceae_unclassified,3
Otu14498,Enterobacteriaceae_unclassified,2
Otu14499,Pantoea,3
Otu14500,Enterobacteriaceae_unclassified,2
Otu14501,Enterobacteriaceae_unclassified,3
Otu14502,Enterobacteriaceae_unclassified,3
Otu14503,Enterobacteriaceae_unclassified,3
Otu14504,Enterobacteriaceae_unclassified,3
Otu14505,Enterobacteriaceae_unclassified,3
Otu14506,Enterobacteriaceae_unclassified,3
Otu14507,Enterobacteriaceae_unclassified,3
Otu14508,Enterobacteriaceae_unclassified,3
Otu14509,Enterobacteriaceae_unclassified,3
Otu14510,Enterobacteriaceae_unclassified,1
Otu14511,Enterobacteriaceae_unclassified,2
Otu14512,Kosakonia,3
Otu14513,Enterobacteriaceae_unclassified,2
Otu14514,Enterobacteriaceae_unclassified,3
Otu14515,Enterobacteriaceae_unclassified,3
Otu14516,Enterobacteriaceae_unclassified,2
Otu14517,Enterobacteriaceae_unclassified,3
Otu14518,Enterobacteriaceae_unclassified,3
Otu14519,Enterobacteriaceae_unclassified,3
Otu14520,Enterobacteriaceae_unclassified,3
Otu14521,Enterobacteriaceae_unclassified,3
Otu14522,Enterobacteriaceae_unclassified,2
Otu14523,Enterobacteriaceae_unclassified,3
Otu14524,Enterobacteriaceae_unclassified,3
Otu14525,Enterobacteriaceae_unclassified,3
Otu14526,Kosakonia,3
Otu14527,Enterobacteriaceae_unclassified,3
Otu14528,Enterobacteriaceae_unclassified,3
Otu14530,Enterobacteriaceae_unclassified,2
Otu14531,Enterobacteriaceae_unclassified,3
Otu14532,Enterobacteriaceae_unclassified,3
Otu14533,Enterobacteriaceae_unclassified,3
Otu14534,Enterobacteriaceae_unclassified,3
Otu14535,Enterobacteriaceae_unclassified,3
Otu14536,Enterobacteriaceae_unclassified,3
Otu14537,Enterobacteriaceae_unclassified,3
Otu14538,Enterobacteriaceae_unclassified,2
Otu14539,Enterobacteriaceae_unclassified,3
Otu14540,Enterobacteriaceae_unclassified,3
Otu14541,Enterobacteriaceae_unclassified,3
Otu14542,Enterobacteriaceae_unclassified,3
Otu14543,Enterobacteriaceae_unclassified,3
Otu14544,Enterobacteriaceae_unclassified,3
Otu14545,Kosakonia,2
Otu14546,Enterobacteriaceae_unclassified,3
Otu14547,Enterobacteriaceae_unclassified,3
Otu14548,Enterobacteriaceae_unclassified,2
Otu14549,Kosakonia,3
Otu14550,Enterobacteriaceae_unclassified,3
Otu14551,Enterobacteriaceae_unclassified,3
Otu14552,Kosakonia,2
Otu14553,Enterobacteriaceae_unclassified,3
Otu14554,Enterobacteriaceae_unclassified,3
Otu14555,Enterobacteriaceae_unclassified,3
Otu14556,Enterobacteriaceae_unclassified,3
Otu14557,Enterobacteriaceae_unclassified,2
Otu14558,Enterobacteriaceae_unclassified,3
Otu14560,Enterobacteriaceae_unclassified,3
Otu14561,Enterobacteriaceae_unclassified,3
Otu14562,Enterobacteriaceae_unclassified,3
Otu14563,Enterobacteriaceae_unclassified,3
Otu14564,Enterobacteriaceae_unclassified,3
Otu14565,Enterobacteriaceae_unclassified,3
Otu14566,Enterobacteriaceae_unclassified,3
Otu14567,Erwinia,3
Otu14568,Enterobacteriaceae_unclassified,3
Otu14569,Enterobacteriaceae_unclassified,2
Otu14570,Enterobacteriaceae_unclassified,3
Otu14571,Enterobacteriaceae_unclassified,3
Otu14572,Enterobacteriaceae_unclassified,1
Otu14573,Enterobacteriaceae_unclassified,3
Otu14574,Ruminococcaceae_unclassified,3
Otu14576,Armatimonadetes_gp4_unclassified,3
Otu14579,Armatimonadetes_gp4_unclassified,3
Otu14583,Latescibacteria_unclassified,3
Otu14584,Latescibacteria_unclassified,3
Otu14585,Latescibacteria_unclassified,3
Otu14586,Latescibacteria_unclassified,3
Otu14587,Enterobacteriaceae_unclassified,3
Otu14590,Clostridiales_unclassified,3
Otu14592,Clostridiales_unclassified,3
Otu14593,Enterobacteriaceae_unclassified,3
Otu14595,Enterobacteriaceae_unclassified,3
Otu14596,Enterobacteriaceae_unclassified,3
Otu14599,Enterobacteriaceae_unclassified,2
Otu14600,Enterobacteriaceae_unclassified,3
Otu14601,Enterobacteriaceae_unclassified,3
Otu14602,Enterobacteriaceae_unclassified,3
Otu14603,Enterobacteriaceae_unclassified,2
Otu14604,Enterobacteriaceae_unclassified,3
Otu14605,Enterobacteriaceae_unclassified,3
Otu14606,Enterobacteriaceae_unclassified,2
Otu14607,Enterobacteriaceae_unclassified,2
Otu14608,Enterobacteriaceae_unclassified,3
Otu14609,Enterobacteriaceae_unclassified,2
Otu14610,Enterobacteriaceae_unclassified,2
Otu14611,Enterobacteriaceae_unclassified,3
Otu14612,Kosakonia,2
Otu14613,Enterobacteriaceae_unclassified,3
Otu14614,Enterobacteriaceae_unclassified,3
Otu14615,Ruminococcaceae_unclassified,3
Otu14616,Enterobacteriaceae_unclassified,3
Otu14617,Enterobacteriaceae_unclassified,3
Otu14618,Enterobacteriaceae_unclassified,3
Otu14619,Enterobacteriaceae_unclassified,3
Otu14620,Enterobacteriaceae_unclassified,3
Otu14621,Enterobacteriaceae_unclassified,3
Otu14622,Enterobacteriaceae_unclassified,3
Otu14623,Kosakonia,3
Otu14624,Enterobacteriaceae_unclassified,3
Otu14625,Kosakonia,3
Otu14626,Enterobacteriaceae_unclassified,3
Otu14627,Ruminococcaceae_unclassified,3
Otu14628,Enterobacteriaceae_unclassified,3
Otu14629,Enterobacteriaceae_unclassified,3
Otu14630,Enterobacteriaceae_unclassified,2
Otu14631,Enterobacteriaceae_unclassified,3
Otu14632,Enterobacteriaceae_unclassified,3
Otu14633,Enterobacteriaceae_unclassified,3
Otu14634,Enterobacteriaceae_unclassified,3
